No,Sheet,VN Word,VN(A),VN(B),JP Word,JP(A),JP(B),EN Word,EN(A),EN(B),Tag
395,Business Trade,Kho,Hàng còn trong kho không?,"Còn, đủ hàng.",<ruby>倉庫<rt>そうこ</rt></ruby>,<ruby>倉庫<rt>そうこ</rt></ruby>に<ruby>在庫<rt>ざいこ</rt></ruby>ある？,あるよ、<ruby>十分<rt>じゅうぶん</rt></ruby>。,Warehouse,Stock in warehouse?,"Yes, enough stock.",Trade
396,Business Trade,Đơn đặt hàng,Đã nhận đơn đặt hàng.,Giao khi nào?,<ruby>発注書<rt>はっちゅうしょ</rt></ruby>,<ruby>発注書<rt>はっちゅうしょ</rt></ruby>を<ruby>受<rt>う</rt></ruby>け<ruby>取<rt>と</rt></ruby>った。,いつ<ruby>納品<rt>のうひん</rt></ruby>？,Purchase order,Received the PO.,When to deliver?,Trade
397,Business Trade,Theo dõi,Theo dõi đơn hàng ở đâu?,Có mã tracking đây.,<ruby>追跡<rt>ついせき</rt></ruby>する,<ruby>注文<rt>ちゅうもん</rt></ruby>の<ruby>追跡<rt>ついせき</rt></ruby>は？,トラッキング<ruby>番号<rt>ばんごう</rt></ruby>はこれ。,To track,How to track the order?,Here's the tracking number.,Trade
398,Business Trade,Thông quan,Thông quan mất bao lâu?,Khoảng 3 ngày.,<ruby>通関<rt>つうかん</rt></ruby>,<ruby>通関<rt>つうかん</rt></ruby>にどのくらい？,<ruby>約<rt>やく</rt></ruby>3<ruby>日<rt>にち</rt></ruby>。,Customs clearance,How long for clearance?,About 3 days.,Trade
399,Business Trade,FOB,Giá FOB hay CIF?,FOB Hải Phòng.,FOB,FOBかCIF？,FOBハイフォン。,FOB,FOB or CIF?,FOB Hai Phong.,Trade
400,Business Trade,Chất lượng,Chất lượng thế nào?,"Rất tốt, đạt tiêu chuẩn.",<ruby>品質<rt>ひんしつ</rt></ruby>,<ruby>品質<rt>ひんしつ</rt></ruby>はどう？,とても<ruby>良<rt>よ</rt></ruby>い、<ruby>基準<rt>きじゅん</rt></ruby><ruby>通<rt>どお</rt></ruby>り。,Quality,How's the quality?,"Very good, meets standards.",Quality
401,Business Trade,Lỗi,Có hàng bị lỗi.,Bao nhiêu cái?,<ruby>欠陥<rt>けっかん</rt></ruby>,<ruby>不良品<rt>ふりょうひん</rt></ruby>がある。,<ruby>何個<rt>なんこ</rt></ruby>？,Defect,There are defective items.,How many?,Quality
402,Business Trade,Đổi trả,Đổi trả được không?,"Được, trong 30 ngày.",<ruby>交換<rt>こうかん</rt></ruby>・<ruby>返品<rt>へんぴん</rt></ruby>,<ruby>交換<rt>こうかん</rt></ruby>・<ruby>返品<rt>へんぴん</rt></ruby>できる？,はい、30<ruby>日<rt>にち</rt></ruby><ruby>以内<rt>いない</rt></ruby>。,Exchange/Return,Can we return?,"Yes, within 30 days.",Quality
403,Business Trade,Kiểm tra,Đã kiểm tra chất lượng chưa?,"Rồi, đạt 100%.",<ruby>検査<rt>けんさ</rt></ruby>する,<ruby>品質<rt>ひんしつ</rt></ruby><ruby>検査<rt>けんさ</rt></ruby>した？,はい、100%<ruby>合格<rt>ごうかく</rt></ruby>。,To inspect,Quality checked?,"Yes, 100% passed.",Quality
404,Business Trade,Chứng nhận,Có chứng nhận ISO không?,"Có, ISO 9001.",<ruby>認証<rt>にんしょう</rt></ruby>,ISO<ruby>認証<rt>にんしょう</rt></ruby>はある？,はい、ISO9001。,Certification,Have ISO certification?,"Yes, ISO 9001.",Quality
405,Business Trade,Chính hãng,Hàng chính hãng không?,100% chính hãng.,<ruby>正規品<rt>せいきひん</rt></ruby>,<ruby>正規品<rt>せいきひん</rt></ruby>？,100%<ruby>正規品<rt>せいきひん</rt></ruby>です。,Genuine,Is it genuine?,100% genuine.,Quality
406,Business Trade,Hư hỏng,Hàng bị hư hỏng khi vận chuyển.,Sẽ gửi hàng thay thế.,<ruby>破損<rt>はそん</rt></ruby>,<ruby>輸送中<rt>ゆそうちゅう</rt></ruby>に<ruby>破損<rt>はそん</rt></ruby>した。,<ruby>代替品<rt>だいたいひん</rt></ruby>を<ruby>送<rt>おく</rt></ruby>ります。,Damaged,Damaged during shipping.,We'll send replacements.,Quality
407,Business Trade,Hoàn tiền,Hoàn tiền được không?,"Được, xử lý trong 7 ngày.",<ruby>返金<rt>へんきん</rt></ruby>する,<ruby>返金<rt>へんきん</rt></ruby>できる？,はい、7<ruby>日<rt>にち</rt></ruby><ruby>以内<rt>いない</rt></ruby>に<ruby>処理<rt>しょり</rt></ruby>。,To refund,Can we get a refund?,"Yes, within 7 days.",Quality
408,Business Trade,Thanh toán,Thanh toán bằng gì?,Chuyển khoản ngân hàng.,<ruby>支払<rt>しはら</rt></ruby>う,<ruby>支払<rt>しはら</rt></ruby>い<ruby>方法<rt>ほうほう</rt></ruby>は？,<ruby>銀行<rt>ぎんこう</rt></ruby><ruby>振込<rt>ふりこみ</rt></ruby>で。,To pay,How to pay?,Bank transfer.,Payment
409,Business Trade,Hóa đơn,Gửi hóa đơn nhé.,"OK, gửi email.",<ruby>請求書<rt>せいきゅうしょ</rt></ruby>,<ruby>請求書<rt>せいきゅうしょ</rt></ruby>を<ruby>送<rt>おく</rt></ruby>って。,OK、メールで。,Invoice,Send the invoice.,"OK, by email.",Payment
410,Business Trade,Chuyển khoản,Đã chuyển khoản chưa?,"Chuyển rồi, kiểm tra nhé.",<ruby>振込<rt>ふりこみ</rt></ruby>,もう<ruby>振<rt>ふ</rt></ruby>り<ruby>込<rt>こ</rt></ruby>んだ？,した、<ruby>確認<rt>かくにん</rt></ruby>してね。,Wire transfer,Transferred yet?,"Done, please check.",Payment
411,Business Trade,Tỷ giá,Tỷ giá hôm nay bao nhiêu?,1 đô = 25.000 đồng.,<ruby>為替<rt>かわせ</rt></ruby>レート,<ruby>今日<rt>きょう</rt></ruby>のレートは？,"1ドル＝25,000ドン。",Exchange rate,Today's rate?,"$1 = 25,000 dong.",Payment
412,Business Trade,Thuế,Giá đã bao gồm thuế chưa?,"Chưa, cộng thêm 10% VAT.",<ruby>税金<rt>ぜいきん</rt></ruby>,<ruby>税込<rt>ぜいこ</rt></ruby>み？,いいえ、VAT10%<ruby>別<rt>べつ</rt></ruby>。,Tax,Tax included?,"No, plus 10% VAT.",Payment
413,Business Trade,Lợi nhuận,Lợi nhuận quý này sao?,Tăng 15%.,<ruby>利益<rt>りえき</rt></ruby>,<ruby>今期<rt>こんき</rt></ruby>の<ruby>利益<rt>りえき</rt></ruby>は？,15%<ruby>増<rt>ぞう</rt></ruby>。,Profit,This quarter's profit?,Up 15%.,Payment
414,Business Trade,Doanh thu,Doanh thu tháng này?,10 tỷ đồng.,<ruby>売上<rt>うりあげ</rt></ruby>,<ruby>今月<rt>こんげつ</rt></ruby>の<ruby>売上<rt>うりあげ</rt></ruby>は？,100<ruby>億<rt>おく</rt></ruby>ドン。,Revenue,This month's revenue?,10 billion dong.,Payment
415,Business Trade,Chi phí,Chi phí cao quá.,Cần cắt giảm ở đâu?,<ruby>経費<rt>けいひ</rt></ruby>,コストが<ruby>高<rt>たか</rt></ruby>すぎる。,どこを<ruby>削減<rt>さくげん</rt></ruby>する？,Cost / Expense,Costs are too high.,Where to cut?,Payment
416,Business Trade,Ngân sách,Ngân sách còn bao nhiêu?,Còn 200 triệu.,<ruby>予算<rt>よさん</rt></ruby>,<ruby>予算<rt>よさん</rt></ruby>はあとどれくらい？,あと2<ruby>億<rt>おく</rt></ruby>ドン。,Budget,How much budget left?,200 million dong left.,Payment
417,Business Trade,Trả góp,Trả góp được không?,"Được, 12 tháng.",<ruby>分割<rt>ぶんかつ</rt></ruby><ruby>払<rt>ばら</rt></ruby>い,<ruby>分割<rt>ぶんかつ</rt></ruby><ruby>払<rt>ばら</rt></ruby>いできる？,はい、12ヶ<ruby>月<rt>げつ</rt></ruby>で。,Installment,Can we pay in installments?,"Yes, 12 months.",Payment
418,Business Trade,Quá hạn,Thanh toán quá hạn rồi.,"Xin lỗi, sẽ chuyển ngay.",<ruby>延滞<rt>えんたい</rt></ruby>,<ruby>支払<rt>しはら</rt></ruby>いが<ruby>延滞<rt>えんたい</rt></ruby>してる。,すみません、すぐ<ruby>振<rt>ふ</rt></ruby>り<ruby>込<rt>こ</rt></ruby>みます。,Overdue,Payment is overdue.,"Sorry, will transfer now.",Payment
419,Business Trade,Đối tác,Đối tác mới từ đâu?,Từ Nhật Bản.,パートナー,<ruby>新<rt>あたら</rt></ruby>しいパートナーはどこから？,<ruby>日本<rt>にほん</rt></ruby>から。,Partner,Where's the new partner from?,From Japan.,Partnership
420,Business Trade,Liên doanh,Thành lập liên doanh nhé.,Tỷ lệ vốn thế nào?,<ruby>合弁<rt>ごうべん</rt></ruby><ruby>会社<rt>かいしゃ</rt></ruby>,<ruby>合弁<rt>ごうべん</rt></ruby><ruby>会社<rt>かいしゃ</rt></ruby>を<ruby>作<rt>つく</rt></ruby>ろう。,<ruby>出資<rt>しゅっし</rt></ruby><ruby>比率<rt>ひりつ</rt></ruby>は？,Joint venture,Let's form a JV.,What's the equity split?,Partnership
421,Business Trade,Đầu tư,Ai đầu tư?,Quỹ đầu tư Hàn Quốc.,<ruby>投資<rt>とうし</rt></ruby>する,<ruby>誰<rt>だれ</rt></ruby>が<ruby>投資<rt>とうし</rt></ruby>？,<ruby>韓国<rt>かんこく</rt></ruby>の<ruby>投資<rt>とうし</rt></ruby>ファンド。,To invest,Who's investing?,A Korean fund.,Partnership
422,Business Trade,Cổ đông,Cổ đông lớn nhất là ai?,Công ty mẹ.,<ruby>株主<rt>かぶぬし</rt></ruby>,<ruby>最大<rt>さいだい</rt></ruby><ruby>株主<rt>かぶぬし</rt></ruby>は？,<ruby>親会社<rt>おやがいしゃ</rt></ruby>です。,Shareholder,Largest shareholder?,The parent company.,Partnership
423,Business Trade,Sáp nhập,Sáp nhập hai công ty?,Đang thương lượng.,<ruby>合併<rt>がっぺい</rt></ruby>する,2<ruby>社<rt>しゃ</rt></ruby>を<ruby>合併<rt>がっぺい</rt></ruby>？,<ruby>交渉中<rt>こうしょうちゅう</rt></ruby>。,To merge,Merge the two companies?,Under negotiation.,Partnership
424,Business Trade,Mua lại,Mua lại công ty đó không?,Đang thẩm định.,<ruby>買収<rt>ばいしゅう</rt></ruby>する,あの<ruby>会社<rt>かいしゃ</rt></ruby>を<ruby>買収<rt>ばいしゅう</rt></ruby>する？,デューデリジェンス<ruby>中<rt>ちゅう</rt></ruby>。,To acquire,Acquire that company?,Due diligence ongoing.,Partnership
425,Business Trade,Trụ sở,Trụ sở ở đâu?,"Seoul, Hàn Quốc.",<ruby>本社<rt>ほんしゃ</rt></ruby>,<ruby>本社<rt>ほんしゃ</rt></ruby>はどこ？,<ruby>韓国<rt>かんこく</rt></ruby>のソウル。,Headquarters,Where's the HQ?,"Seoul, Korea.",Partnership
426,Business Trade,Chi nhánh,Có chi nhánh ở Việt Nam không?,"Có, ở TP HCM.",<ruby>支店<rt>してん</rt></ruby>,ベトナムに<ruby>支店<rt>してん</rt></ruby>はある？,はい、ホーチミンに。,Branch,Branch in Vietnam?,"Yes, in HCMC.",Partnership
427,Business Trade,Giám đốc,Giám đốc mới là ai?,Anh Nguyễn Văn A.,CEO,<ruby>新<rt>あたら</rt></ruby>しいCEOは<ruby>誰<rt>だれ</rt></ruby>？,グエン・ヴァン・Aさん。,CEO,Who's the new CEO?,Mr. Nguyen Van A.,Partnership
428,Business Trade,Thẩm định,Thẩm định xong chưa?,"Gần xong, cần thêm 1 tuần.",デューデリジェンス,デューデリジェンスは<ruby>終<rt>お</rt></ruby>わった？,もうすぐ、あと1<ruby>週間<rt>しゅうかん</rt></ruby>。,Due diligence,DD completed?,"Almost, 1 more week.",Partnership
429,Business Trade,Định giá,Định giá công ty bao nhiêu?,100 triệu đô.,<ruby>企業<rt>きぎょう</rt></ruby><ruby>評価<rt>ひょうか</rt></ruby>,<ruby>企業<rt>きぎょう</rt></ruby><ruby>評価額<rt>ひょうかがく</rt></ruby>は？,1<ruby>億<rt>おく</rt></ruby>ドル。,Valuation,Company valuation?,$100 million.,Partnership
430,Business Trade,MOU,Ký MOU trước nhé.,"OK, soạn MOU đi.",MOU,まずMOUを<ruby>結<rt>むす</rt></ruby>ぼう。,OK、MOUを<ruby>作<rt>つく</rt></ruby>って。,MOU,Sign MOU first.,"OK, draft the MOU.",Partnership
431,Business Trade,LOI,Đã gửi LOI chưa?,"Gửi rồi, đợi phản hồi.",LOI,LOI<ruby>送<rt>おく</rt></ruby>った？,<ruby>送<rt>おく</rt></ruby>った、<ruby>返事<rt>へんじ</rt></ruby><ruby>待<rt>ま</rt></ruby>ち。,LOI,Sent the LOI?,"Sent, waiting for reply.",Partnership
432,Business Trade,Vốn,Cần thêm vốn không?,"Cần, khoảng 5 tỷ.",<ruby>資本<rt>しほん</rt></ruby>,<ruby>追加<rt>ついか</rt></ruby><ruby>資本<rt>しほん</rt></ruby>が<ruby>必要<rt>ひつよう</rt></ruby>？,<ruby>必要<rt>ひつよう</rt></ruby>、<ruby>約<rt>やく</rt></ruby>50<ruby>億<rt>おく</rt></ruby>ドン。,Capital,Need more capital?,"Yes, about 5 billion dong.",Partnership
433,Business Trade,Nhà sáng lập,Nhà sáng lập là ai?,"Anh Trần, bạn tôi.",<ruby>創業者<rt>そうぎょうしゃ</rt></ruby>,<ruby>創業者<rt>そうぎょうしゃ</rt></ruby>は<ruby>誰<rt>だれ</rt></ruby>？,トランさん、<ruby>友人<rt>ゆうじん</rt></ruby>です。,Founder,Who's the founder?,"Mr. Tran, my friend.",Partnership
434,Business Strategy,Chiến lược,Chiến lược năm sau là gì?,Tập trung vào thị trường Đông Nam Á.,<ruby>戦略<rt>せんりゃく</rt></ruby>,<ruby>来年<rt>らいねん</rt></ruby>の<ruby>戦略<rt>せんりゃく</rt></ruby>は？,<ruby>東南<rt>とうなん</rt></ruby>アジア<ruby>市場<rt>しじょう</rt></ruby>に<ruby>集中<rt>しゅうちゅう</rt></ruby>。,Strategy,Next year's strategy?,Focus on Southeast Asia.,Strategy
435,Business Strategy,Kế hoạch,Kế hoạch xong chưa?,"Xong rồi, anh xem nhé.",<ruby>計画<rt>けいかく</rt></ruby>,<ruby>計画<rt>けいかく</rt></ruby>はできた？,できた、<ruby>見<rt>み</rt></ruby>て。,Plan,Plan ready?,"Done, take a look.",Strategy
436,Business Strategy,Mục tiêu,Mục tiêu quý này?,Tăng doanh thu 20%.,<ruby>目標<rt>もくひょう</rt></ruby>,<ruby>今期<rt>こんき</rt></ruby>の<ruby>目標<rt>もくひょう</rt></ruby>は？,<ruby>売上<rt>うりあげ</rt></ruby>20%<ruby>増<rt>ぞう</rt></ruby>。,Goal,This quarter's goal?,20% revenue increase.,Strategy
437,Business Strategy,KPI,KPI đạt chưa?,Đạt 80%.,KPI,KPIは<ruby>達成<rt>たっせい</rt></ruby>した？,80%<ruby>達成<rt>たっせい</rt></ruby>。,KPI,KPI met?,80% achieved.,Strategy
438,Business Strategy,Lộ trình,Lộ trình thế nào?,"3 giai đoạn, 18 tháng.",ロードマップ,ロードマップは？,3フェーズ、18ヶ<ruby>月<rt>げつ</rt></ruby>。,Roadmap,What's the roadmap?,"3 phases, 18 months.",Strategy
439,Business Strategy,Đổi mới,Cần đổi mới gì?,Đổi mới quy trình sản xuất.,イノベーション,<ruby>何<rt>なに</rt></ruby>をイノベーションする？,<ruby>製造<rt>せいぞう</rt></ruby>プロセスを。,Innovation,What needs innovation?,Manufacturing process.,Strategy
440,Business Strategy,Chuyển đổi số,Chuyển đổi số đến đâu rồi?,Đang triển khai giai đoạn 2.,DX,DXの<ruby>進捗<rt>しんちょく</rt></ruby>は？,フェーズ2を<ruby>展開中<rt>てんかいちゅう</rt></ruby>。,Digital transformation,How's DX going?,Phase 2 rolling out.,Strategy
441,Business Strategy,Tự động hóa,Tự động hóa được không?,"Được, giảm 30% nhân lực.",<ruby>自動化<rt>じどうか</rt></ruby>,<ruby>自動化<rt>じどうか</rt></ruby>できる？,できる、<ruby>人員<rt>じんいん</rt></ruby>30%<ruby>削減<rt>さくげん</rt></ruby>。,Automation,Can we automate?,"Yes, 30% less manpower.",Strategy
442,Business Strategy,Hiệu quả,Hiệu quả thế nào?,Tăng 40% so với trước.,<ruby>効率<rt>こうりつ</rt></ruby>,<ruby>効率<rt>こうりつ</rt></ruby>はどう？,<ruby>以前<rt>いぜん</rt></ruby>より40%アップ。,Efficiency,How efficient?,40% better than before.,Strategy
443,Business Strategy,Tăng trưởng,Tăng trưởng bao nhiêu?,15% mỗi năm.,<ruby>成長<rt>せいちょう</rt></ruby>,<ruby>成長率<rt>せいちょうりつ</rt></ruby>は？,<ruby>年<rt>ねん</rt></ruby>15%。,Growth,Growth rate?,15% per year.,Strategy
444,Business Strategy,Mở rộng,Mở rộng sang đâu?,Thị trường Campuchia.,<ruby>拡大<rt>かくだい</rt></ruby>する,どこに<ruby>拡大<rt>かくだい</rt></ruby>する？,カンボジア<ruby>市場<rt>しじょう</rt></ruby>。,To expand,Expand where?,Cambodia market.,Strategy
445,Business Strategy,Phân tích,Phân tích xong chưa?,"Xong, kết quả khả quan.",<ruby>分析<rt>ぶんせき</rt></ruby>する,<ruby>分析<rt>ぶんせき</rt></ruby><ruby>終<rt>お</rt></ruby>わった？,<ruby>終<rt>お</rt></ruby>わった、<ruby>結果<rt>けっか</rt></ruby>は<ruby>良好<rt>りょうこう</rt></ruby>。,To analyze,Analysis done?,"Done, results are positive.",Strategy
446,Business Strategy,Dự báo,Dự báo năm sau thế nào?,"Lạc quan, tăng 25%.",<ruby>予測<rt>よそく</rt></ruby>,<ruby>来年<rt>らいねん</rt></ruby>の<ruby>予測<rt>よそく</rt></ruby>は？,<ruby>楽観的<rt>らっかんてき</rt></ruby>、25%<ruby>増<rt>ぞう</rt></ruby>。,Forecast,Next year's forecast?,"Optimistic, up 25%.",Strategy
447,Business Strategy,Ra mắt,Khi nào ra mắt sản phẩm?,Tháng 6.,ローンチする,<ruby>製品<rt>せいひん</rt></ruby>ローンチはいつ？,6<ruby>月<rt>がつ</rt></ruby>。,To launch,When's the product launch?,June.,Strategy
448,Business Strategy,Thử nghiệm,Thử nghiệm kết quả sao?,"Thành công, sẵn sàng triển khai.",パイロット,パイロットの<ruby>結果<rt>けっか</rt></ruby>は？,<ruby>成功<rt>せいこう</rt></ruby>、<ruby>展開<rt>てんかい</rt></ruby><ruby>準備<rt>じゅんび</rt></ruby>OK。,Pilot / Trial,Pilot results?,"Success, ready to deploy.",Strategy
449,Business Strategy,Marketing,Chiến lược marketing sao?,Tập trung digital marketing.,マーケティング,マーケティング<ruby>戦略<rt>せんりゃく</rt></ruby>は？,デジタルマーケティングに<ruby>集中<rt>しゅうちゅう</rt></ruby>。,Marketing,Marketing strategy?,Focus on digital.,Marketing
450,Business Strategy,Thương hiệu,Thương hiệu mạnh chưa?,Đang xây dựng.,ブランド,ブランドは<ruby>強<rt>つよ</rt></ruby>い？,<ruby>構築中<rt>こうちくちゅう</rt></ruby>。,Brand,Is the brand strong?,Building it up.,Marketing
451,Business Strategy,Quảng cáo,Quảng cáo ở đâu?,Facebook và Google.,<ruby>広告<rt>こうこく</rt></ruby>,どこに<ruby>広告<rt>こうこく</rt></ruby>を？,FacebookとGoogle。,Advertising,Advertise where?,Facebook and Google.,Marketing
452,Business Strategy,Chiến dịch,Chiến dịch hiệu quả không?,"Rất hiệu quả, ROI 300%.",キャンペーン,キャンペーンは<ruby>効果的<rt>こうかてき</rt></ruby>？,とても<ruby>効果的<rt>こうかてき</rt></ruby>、ROI300%。,Campaign,Campaign effective?,"Very, ROI 300%.",Marketing
453,Business Strategy,Mạng xã hội,Đăng bài lên mạng xã hội.,"Đăng rồi, nhiều like lắm.",SNS,SNSに<ruby>投稿<rt>とうこう</rt></ruby>して。,<ruby>投稿<rt>とうこう</rt></ruby>した、いいねが<ruby>多<rt>おお</rt></ruby>い。,Social media,Post on social media.,"Posted, lots of likes.",Marketing
454,Business Strategy,Khách hàng,Khách hàng phản hồi sao?,Rất hài lòng.,<ruby>顧客<rt>こきゃく</rt></ruby>,<ruby>顧客<rt>こきゃく</rt></ruby>の<ruby>反応<rt>はんのう</rt></ruby>は？,とても<ruby>満足<rt>まんぞく</rt></ruby>。,Customer,Customer feedback?,Very satisfied.,Marketing
455,Business Strategy,Bán hàng,Bán hàng tháng này sao?,Vượt chỉ tiêu 10%.,<ruby>営業<rt>えいぎょう</rt></ruby>,<ruby>今月<rt>こんげつ</rt></ruby>の<ruby>営業<rt>えいぎょう</rt></ruby>は？,<ruby>目標<rt>もくひょう</rt></ruby>を10%<ruby>超<rt>こ</rt></ruby>えた。,Sales,Sales this month?,Exceeded target by 10%.,Marketing
456,Business Strategy,Thị phần,Thị phần bao nhiêu?,Khoảng 15%.,<ruby>市場<rt>しじょう</rt></ruby>シェア,<ruby>市場<rt>しじょう</rt></ruby>シェアは？,<ruby>約<rt>やく</rt></ruby>15%。,Market share,Market share?,About 15%.,Marketing
457,Business Strategy,Đối thủ,Đối thủ chính là ai?,Công ty X.,<ruby>競合<rt>きょうごう</rt></ruby>,<ruby>主<rt>おも</rt></ruby>な<ruby>競合<rt>きょうごう</rt></ruby>は？,X<ruby>社<rt>しゃ</rt></ruby>。,Competitor,Main competitor?,Company X.,Marketing
458,Business Strategy,Sự kiện,Tham gia sự kiện không?,"Tham gia, booth số 5.",イベント,イベントに<ruby>参加<rt>さんか</rt></ruby>する？,する、ブース5<ruby>番<rt>ばん</rt></ruby>。,Event,Join the event?,"Yes, booth #5.",Marketing
459,Business Strategy,Triển lãm,Triển lãm ở đâu?,Trung tâm hội nghị quốc gia.,<ruby>展示会<rt>てんじかい</rt></ruby>,<ruby>展示会<rt>てんじかい</rt></ruby>はどこ？,<ruby>国立<rt>こくりつ</rt></ruby>コンベンションセンター。,Exhibition,Exhibition where?,National convention center.,Marketing
460,Business Strategy,Tài chính,Tình hình tài chính sao?,Ổn định.,<ruby>財務<rt>ざいむ</rt></ruby>,<ruby>財務<rt>ざいむ</rt></ruby><ruby>状況<rt>じょうきょう</rt></ruby>は？,<ruby>安定<rt>あんてい</rt></ruby>している。,Finance,Financial status?,Stable.,Finance
461,Business Strategy,Báo cáo tài chính,Báo cáo tài chính xong chưa?,"Xong, nộp tuần sau.",<ruby>財務<rt>ざいむ</rt></ruby><ruby>報告<rt>ほうこく</rt></ruby>,<ruby>財務<rt>ざいむ</rt></ruby><ruby>報告<rt>ほうこく</rt></ruby>はできた？,できた、<ruby>来週<rt>らいしゅう</rt></ruby><ruby>提出<rt>ていしゅつ</rt></ruby>。,Financial report,Financial report done?,"Done, submit next week.",Finance
462,Business Strategy,Dòng tiền,Dòng tiền thế nào?,"Dương, không lo.",キャッシュフロー,キャッシュフローは？,プラス、<ruby>心配<rt>しんぱい</rt></ruby>ない。,Cash flow,Cash flow?,"Positive, no worries.",Finance
463,Business Strategy,Tài sản,Tổng tài sản bao nhiêu?,50 tỷ đồng.,<ruby>資産<rt>しさん</rt></ruby>,<ruby>総<rt>そう</rt></ruby><ruby>資産<rt>しさん</rt></ruby>はいくら？,500<ruby>億<rt>おく</rt></ruby>ドン。,Asset,Total assets?,50 billion dong.,Finance
464,Business Strategy,Nợ,Nợ nhiều không?,"Hơi nhiều, cần giảm.",<ruby>負債<rt>ふさい</rt></ruby>,<ruby>負債<rt>ふさい</rt></ruby>は<ruby>多<rt>おお</rt></ruby>い？,ちょっと<ruby>多<rt>おお</rt></ruby>い、<ruby>減<rt>へ</rt></ruby>らさないと。,Debt,Much debt?,"A bit much, need to reduce.",Finance
465,Business Strategy,Vay,Vay bao nhiêu?,"10 tỷ, lãi suất 8%.",<ruby>借入<rt>かりいれ</rt></ruby>,いくら<ruby>借<rt>か</rt></ruby>りた？,100<ruby>億<rt>おく</rt></ruby>ドン、<ruby>金利<rt>きんり</rt></ruby>8%。,Loan,How much borrowed?,"10B dong, 8% interest.",Finance
466,Business Strategy,Kiểm toán,Kiểm toán khi nào?,Tháng 3 hàng năm.,<ruby>監査<rt>かんさ</rt></ruby>,<ruby>監査<rt>かんさ</rt></ruby>はいつ？,<ruby>毎年<rt>まいとし</rt></ruby>3<ruby>月<rt>がつ</rt></ruby>。,Audit,When's the audit?,Every March.,Finance
467,Business Strategy,Thuế,Đã khai thuế chưa?,Khai rồi.,<ruby>税金<rt>ぜいきん</rt></ruby>,<ruby>確定<rt>かくてい</rt></ruby><ruby>申告<rt>しんこく</rt></ruby>した？,した。,Tax,Filed taxes?,Done.,Finance
468,Business Strategy,ROI,ROI bao nhiêu?,150%.,ROI,ROIは？,150%。,ROI,What's the ROI?,150%.,Finance
469,Business Strategy,Lạm phát,Lạm phát ảnh hưởng sao?,Chi phí tăng 10%.,インフレ,インフレの<ruby>影響<rt>えいきょう</rt></ruby>は？,コストが10%<ruby>上昇<rt>じょうしょう</rt></ruby>。,Inflation,Inflation impact?,Costs up 10%.,Finance
470,Business Strategy,Nhân sự,Phòng nhân sự ở đâu?,Tầng 2.,<ruby>人事<rt>じんじ</rt></ruby>,<ruby>人事<rt>じんじ</rt></ruby><ruby>部<rt>ぶ</rt></ruby>はどこ？,2<ruby>階<rt>かい</rt></ruby>。,HR,Where's HR?,2nd floor.,HR
471,Business Strategy,Tuyển dụng,Tuyển dụng mấy người?,"3 người, kỹ sư phần mềm.",<ruby>採用<rt>さいよう</rt></ruby>する,<ruby>何人<rt>なんにん</rt></ruby><ruby>採用<rt>さいよう</rt></ruby>？,3<ruby>人<rt>にん</rt></ruby>、ソフトウェアエンジニア。,To recruit,How many to hire?,3 software engineers.,HR
472,Business Strategy,Phỏng vấn,Phỏng vấn lúc mấy giờ?,2 giờ chiều.,<ruby>面接<rt>めんせつ</rt></ruby>,<ruby>面接<rt>めんせつ</rt></ruby>は<ruby>何時<rt>なんじ</rt></ruby>？,<ruby>午後<rt>ごご</rt></ruby>2<ruby>時<rt>じ</rt></ruby>。,Interview,Interview at what time?,2 PM.,HR
473,Business Strategy,Lương,Lương bao nhiêu?,Thương lượng theo năng lực.,<ruby>給与<rt>きゅうよ</rt></ruby>,<ruby>給与<rt>きゅうよ</rt></ruby>はいくら？,<ruby>能力<rt>のうりょく</rt></ruby>に<ruby>応<rt>おう</rt></ruby>じて。,Salary,What's the salary?,Based on ability.,HR
474,Business Strategy,Thưởng,Có thưởng cuối năm không?,"Có, 2 tháng lương.",ボーナス,<ruby>年末<rt>ねんまつ</rt></ruby>ボーナスある？,あるよ、<ruby>給料<rt>きゅうりょう</rt></ruby>2ヶ<ruby>月<rt>げつ</rt></ruby><ruby>分<rt>ぶん</rt></ruby>。,Bonus,Year-end bonus?,"Yes, 2 months salary.",HR
475,Business Strategy,Nghỉ phép,Xin nghỉ phép 3 ngày.,"Được, từ khi nào?",<ruby>有給<rt>ゆうきゅう</rt></ruby><ruby>休暇<rt>きゅうか</rt></ruby>,3<ruby>日間<rt>にちかん</rt></ruby><ruby>有給<rt>ゆうきゅう</rt></ruby>を<ruby>申請<rt>しんせい</rt></ruby>。,いいよ、いつから？,Leave,Requesting 3 days leave.,"OK, starting when?",HR
476,Business Strategy,Tăng ca,Tăng ca tối nay không?,"Phải tăng ca, deadline gần.",<ruby>残業<rt>ざんぎょう</rt></ruby>,<ruby>今夜<rt>こんや</rt></ruby><ruby>残業<rt>ざんぎょう</rt></ruby>？,<ruby>残業<rt>ざんぎょう</rt></ruby>しないと、<ruby>締切<rt>しめきり</rt></ruby>が<ruby>近<rt>ちか</rt></ruby>い。,Overtime,Overtime tonight?,"Have to, deadline's close.",HR
